Parent Tier Code,Tier Type Title,Tier Code,Tier Title,Subtitle,Description,Subject,Editions,Levels,Visibility,Locales,Curriculum Tree Thumbnail,Color Code,Sort Order,Header Image Src,Created By,Created Date,Last Updated By,Last Updated Date
,Course,CO,High School Math Solution Algebra I,,High School Math Solution Algebra  I (08042025),MATH,"[""CC-MATH2023-ALG1-SE"",""CC-MATH2023-ALG1-TE"",""NA-MATH612-2023-ALG1"",""NA-MATH612-2023-ALG1-TG"",""NA-MATHIA"",""NA-MATH612-2023-MS"",""CC-MATH2023-MATHIA"",""CC-MATH2023-MS""]","[""ALG1""]",global,"[""en""]",courseImages/NA/MSMB_A1_CLC_Cover.png,#059B97,40,,CL,07/10/2024,CL,8/4/2025 14:48:27:858
,Module,CO_M00,Course Overview,,"In this course, students will build understanding of the following modules: Searching for Patterns, Exploring Constant Change, Investigating Growth and Decay, Describing Distributions, Maximizing and Minimizing.

Each module is broken up into topics where you will find teacher materials to guide the instruction and the student materials both used in the classroom for learning together and corresponding MATHia workspaces for learning individually.",,,,,,,,,,,,,
CO_M00,Learning Object,b83b3a6dfc46e2eaa6856c08e35d9320544fef59,,,,,,,,,,,,,,,,
CO_M00,Topic,CO_M00_T00,Student Course Resources,,"In this course, students will build understanding of the following modules: Searching for Patterns, Exploring Constant Change, Investigating Growth and Decay, Describing Distributions, Maximizing and Minimizing.

Each module is broken up into topics where you will find teacher materials to guide the instruction and the student materials both used in the classroom for learning together and corresponding MATHia workspaces for learning individually.",,,,,,,,,,,,,
CO_M00_T00,Learning Object,c03927e03649a189ab2d4a554f46ac1036b09f14,,,,,,,,,,,,,,,,
CO_M00,Topic,CO_M00_T01,Course Planning Resources,,"In this course, students will build understanding of the following modules: Searching for Patterns, Exploring Constant Change, Investigating Growth and Decay, Describing Distributions, Maximizing and Minimizing.

Each module is broken up into topics where you will find teacher materials to guide the instruction and the student materials both used in the classroom for learning together and corresponding MATHia workspaces for learning individually.",,,,,,,,,,,,,
CO_M00_T01,Learning Object,926ab1a973c42adc65c2ddf3bac031d49b5dde45,,,,,,,,,,,,,,,,
CO_M00_T01,Learning Object,532eb87cabc7ba72da5fc4681ac16dfb31066a1a,,,,,,,,,,,,,,,,
CO_M00_T01,Learning Object,a104918f933295e808c57b345ece77f020157351,,,,,,,,,,,,,,,,
CO_M00_T01,Learning Object,cad3f73e0a096c9781ca3769cd9a1af03173df0d,,,,,,,,,,,,,,,,
CO_M00_T01,Learning Object,6a4a112521aba54376971026ee13376ca8101306,,,,,,,,,,,,,,,,
CO_M00_T01,Learning Object,d0a6b40724e3ddf2eb1749fc6a2f54be947749e1,,,,,,,,,,,,,,,,
CO_M00_T01,Learning Object,66a319c3066b5a634e0fac53157322074fa5bcff,,,,,,,,,,,,,,,,
CO_M00_T01,Learning Object,1b057a35d1fa382e619491c071ae9f45aa12b595,,,,,,,,,,,,,,,,
CO_M00_T01,Learning Object,b574885362c19642a155482b5be4ba02e917cf8f,,,,,,,,,,,,,,,,
CO_M00_T01,Learning Object,b306b6a9bed10671b753acaf1e0cd9ae3422fe45,,,,,,,,,,,,,,,,
CO_M00_T01,Learning Object,d7c77013999146144e3bb161ccb2121201e07297,,,,,,,,,,,,,,,,
CO_M00_T01,Learning Object,710cb8535ea00a4617d9526efd8a77d1ba00e43e,,,,,,,,,,,,,,,,
CO_M00,Topic,CO_M00_T02,Introductory Lesson: A Meeting of the Minds,,"In this course, students will build understanding of the following modules: Searching for Patterns, Exploring Constant Change, Investigating Growth and Decay, Describing Distributions, Maximizing and Minimizing.

Each module is broken up into topics where you will find teacher materials to guide the instruction and the student materials both used in the classroom for learning together and corresponding MATHia workspaces for learning individually.",,,,,,,,,,,,,
CO_M00_T02,Learning Object,28999a8d3b9737e9d61b05d57bac3a542f796314,,,,,,,,,,,,,,,,
CO_M00_T02,Learning Object,4e9af4cb3328159de8b61fe928bec041745a9641,,,,,,,,,,,,,,,,
CO_M00_T02,Learning Object,e1b4758c2c50725ca4b11c25bcb357e2a07019e5,,,,,,,,,,,,,,,,
,Module,CO_M01,Module 1: Searching for Patterns,,"Students recognize and identify the key characteristics of different function families. They write recursive and explicit formulas for arithmetic and geometric sequences. Students analyze patterns of data, formalize their understanding of lines of best fit, and consider whether a model is a good fit.",,,,,,,,,,,,,
